procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 1183968  70064    372  55504 5396    0  5804     0 1012 2639  1 99  0  0  0
 7  1 1251312  80804    372  55220 4388 71280  4388 71300  820 1870  0 100  0  0  0
 5  1 1269584  55812    372  54992 5376 22808  5380 22808  931 2204  0 99  0  1  0
 6  0 1352856  69672    356  54308 4040 86160  4040 86160  852 1726  0 100  0  0  0
 6  1 1376024  65732    356  53868 10128 31032 10128 31032 1081 2131  1 99  0  0  0
 6  0 1497344  98776    332  53264 5648 125536  5648 125536  852 1631  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  2 1490448  66020    340  53792 11668 4036 12208  4048 1082 2331  0 100  0  0  0
 7  1 1568072  60052    568  55416 3116 80364  5248 80364  830 1775  0 100  0  0  0
 6  0 1595080  78728    568  56776 8484 33860  9752 33860 1336 2564  0 84  0 16  0
 7  0 1700464  92992    548  56744 2636 107904  4212 107908  812 1344  0 100  0  0  0
 6  0 1743152 112792    548  58072 7164 49204  8452 49204  928 1730  1 99  0  0  0
 7  0 1753712  62060    556  58340 9664 18120 10088 18136 1248 2797  0 99  0  1  0
 1  0 1842144  98932    552  58996 5348 92780  6528 92780 1103 2069  0 91  0  9  0
 8  0 1870440  54644    552  59248 8504 35304  8824 35324 1068 1959  0 93  0  7  0
 5  0 1937024  82300    540  59960 6056 71980  7676 71980  930 1746  2 98  0  0  0
 8  0 1969432  55280    540  60856 8776 39740 10424 39740  995 1789  0 100  0  0  0
12  2 1990680  54980    548  61228  876 24912  1192 24936 1398  429  0 99  0  1  0
 7  6 1996824  56216    824  62036  884 10884  2412 10912 1276  484  0 99  0  1  0
10  1 2004904  54544    824  62512 1040 13308  1516 13328 1095 1081  0 99  0  1  0
 9  0 2014912  58192    824  62520  516 14896   516 14896 1176  828  0 100  0  0  0
 7  0 2024704  58948    824  62520 1792 14052  1848 14052 1116  593  0 100  0  0  0
 8  0 2033972  70536    824  62016 1260 14816  1332 14816 1080  530  0 100  0  0  0
 6  2 2043352  54892    824  62196 2056 14404  2288 14404 1098  754  0 100  0  0  0
 9  0 2054012  54780    832  61664 1100 14860  1204 14872 1136 1162  0 100  0  0  0
 8  0 2069584  58908    832  61716 2064 20080  2136 20080 1093  876  1 99  0  0  0
 7  2 2080432  62916    824  61360 1880 16848  2044 16848 1210  599  0 100  0  0  0
10  1 2091752  70248    824  61368  268 15072   268 15072 1279  372  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  1 2097012  71980    748  59708 2920 8600  2936  8612 1068  751  0 100  0  0  0
 6  0 2095636  78508    240  50952 5608 3276  6040  3284  946 1117  1 99  0  0  0
 7  0 2091992  79228    232  50504 9048 4380  9460  4380 1070 1409  1 98  1  0  0
 6  0 2095948  75736    248  50160 2364 6056  2400  6056 1026 1121  0 100  0  0  0
 6  0 2096732  65956    248  49948 3352 3488  3352  3488  987 1285  0 100  0  0  0
 7  0 2097148  65472    212  46372 3420 3052  3420  3056  993 1388  0 100  0  0  0
 8  0 2096136  65500    204  46288 4836 2440  6396  2452 1153 1759  0 100  0  0  0
 7  0 2095600  73816    192  48124 4048 2540  7160  2540 1021 1382  1 99  0  0  0
 9  0 2097148  63728    192  48732 3516 4252  4376  4252 1072 1310  0 100  0  0  0
 7  0 2096928  64240    176  47676 3708 2740  5140  2740 1008 1582  0 100  0  0  0
 8  1 2097144  65468    172  47044 2852 2804  3764  2804 1093 1586  0 100  0  0  0
 9  0 2096552  64996    124  42052 3092 2192  4900  2208 1059 1743  0 100  0  0  0
10  0 2097148  63476    112  38968 3164 3156  6740  3160 1099 1614  0 100  0  0  0
 9  2 2097024 117996    232  38536 3664 3736 48988  3804 1926 7358  0 100  0  0  0
11  0 2095308 503512   2568  64892 2200 1908 23444  1908 1070 1722  1 99  0  0  0
 7  0 612780 1485896   2700  72084 4628  192 13764   192  782 1404  1 99  0  0  0
