procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 879108   2984  75044 3131 8071  4672  8091  582  811  2 27 66  5  0
 0  0      0 878856   3124  75076    0    0   144     0  326  319  0  1 97  2  0
 2  1      0 878856   3136  75064    0    0     4    48  309  282  1  2 96  1  0
 0  0      0 820148   4316  79984    0    0  6028     0  476  830 14 26 53  7  0
 0  0      0 717332   4316  79984    0    0     0     0  344  421  5 10 85  0  0
 0  0      0 615524   4316  79984    0    0     0     0  373  240  1  7 92  0  0
 0  0      0 512456   4316  80048    0    0    64     0  348  254  2  9 89  0  0
 0  0      0 409892   4316  80048    0    0     0    16  347  243  1  8 91  0  0
 0  0      0 306572   4324  80048    0    0     0    32  344  427 16  8 74  2  0
 0  0      0 204764   4324  80048    0    0     0     0  338  442  8  3 89  0  0
 0  0      0 102200   4324  80048    0    0     0     0  319  235  1  6 93  0  0
 2  0    524  63780   4320  80052    0  448     0   448  319  246  1  3 96  0  0
 0  0  93480  85688   4308  79976   16 92836    16 92836  563  724  0 52 46  2  0
 2  0 199052  80716   4300  79236   52 105740    52 105776  643 1070  0 65 34  1  0
 2  0 231500  52160   4300  79140   48 32292    48 32292  360  269  0 17 83  0  0
 0  0 314924  88776   4268  77492   40 83452    40 83452  524  771  0 49 51  0  0
 1  0 429772  96032   4216  74856   44 114840    44 114840  638  974  0 67 31  2  0
 2  0 443424  72876   4216  74968  440 13960   716 13960  426  532  2 20 74  3  0
 0  1 573472 137104   3252  68132 1992 130596  2236 130716  816 1720  0 92  0  8  0
 6  0 590624  80708   3048  68096 2372 17472  2716 17472  854 1941  1 77  0 22  0
 8  0 625736  85760   2836  67416 2980 35504  3184 35504  923 2067  0 91  0  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 637768  61872   2748  67572 4772 12908  5532 12908 1098 2904  1 99  0  0  0
 1  1 741080  91508   1908  61912 1068 103420  1140 103420  739 1401  0 83  0 17  0
 2  5 745456  80932   1936  62260 4440 5068  5076  5092 1151 2935  0 91  0  9  0
 7  1 745456  62536   1920  61628 5472  808  6696   808 1102 2834  0 100  0  0  0
 6  0 754456  57500    636  54680 3360 10140  3972 10140  966 2131  1 99  0  0  0
 2  0 781440  62120    528  50076 2832 27344  3544 27344  872 1999  1 99  0  0  0
 6  0 818192  78320    516  49780 4200 37504  4408 37504  991 2571  0 92  0  8  0
 7  0 849552  61484    508  49196 3860 31448  4316 31464  929 2285  0 100  0  0  0
 5  0 938216 112752    412  47732 3556 89500  4096 89500 1032 2410  1 98  0  1  0
 6  0 937192  75592    412  49104 5692    0  7064     0 1119 2689  0 100  0  0  0
 7  0 1011728  71108    396  49068 2904 74668  3720 74668  874 1998  1 99  0  0  0
 7  1 1043848  79784    400  50528 3924 32720  5376 32732  900 2311  0 99  0  1  0
 9  0 1122744  70880    384  51008 3324 81988  4200 81992  961 2142  0 100  0  0  0
 6  1 1193440 130108    372  54236 4120 74748  7660 74748  973 2322  0 100  0  0  0
 7  0 1189344 106100    372  55116 4308  324  5148   324  891 2235  1 99  0  0  0
