procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 842816   3240  94096 2485 6453  3913  6474  539  715  2 23 71  4  0
 0  0      0 842816   3240  94100    0    0     0     0  369  273  1  3 96  0  0
 2  0      0 842816   3252  94088    0    0    20    48  326  263  0  2 96  2  0
 0  0      0 754616   4432  98836    0    0  5868     0  494  805 14 29 52  4  0
 0  0      0 652304   4432  98844    0    0     0     0  367  502 13 10 77  0  0
 0  0      0 550244   4432  98844    0    0     0     0  319  265  1 10 89  0  0
 0  0      0 447680   4432  98844    0    0     0     0  350  243  1 10 88  0  0
 1  1      0 345116   4440  98836    0    0     0    32  366  232  2  8 90  0  0
 0  0      0 241796   4440  98844    0    0     0     0  342  456 16 10 71  3  0
 1  0      0 226676   4440  98844    0    0     0     0  317  451 10  2 88  0  0
 0  0      0 139736   4440  98844    0    0     0     0  348  186  0  8 92  0  0
 3  0   7216  79320    528  70320    0 7016  2768  7016  526  542  1 41 53  5  0
 4  0  60008  60404    356  43736    0 52820  6300 52972  666  867  1 68 24  6  0
 0  0 114848  96476    356  47028   48 54932  3340 54932  440  416  0 35 65  0  0
 1  0 188496  75248    140  38688   20 73660  6460 73660  626  948  1 65 27  7  0
 2  0 231500  55156    228  43180   16 43052 10388 43064  625  839  0 59 37  4  0
 1  0 300760  76804    136  43500   40 69236  9084 69252  560  715  0 63 36  1  0
 3  0 337328  54216    144  41200   20 36432  1832 36448  471  640  0 51 47  2  0
 1  0 411004  88680    124  40204  444 74060  8336 74072  638  875  1 93  5  1  0
 2  1 436340  53964    124  42276   92 25560  3320 25560  453  542  0 35 63  2  0
 2  0 558156 108640    124  49508  692 122208 12904 122208  748 1181  0 98  0  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 590540  56788    224  47248  272 32672  3720 32684  585  828  0 49 49  2  0
 3  0 678948  99088    212  47452   48 88440  3372 88456  543  574  0 52 47  1  0
 2  0 796652 143616     88  45284  332 117632  4252 117632  659  854  1 67 27  5  0
 4  1 804108  60348     80  39524  336 7896 14864  7904  670  989  1 55 43  1  0
 0  0 843172  80208    356  58796  292 39160 29612 39160  871 1230  0 65 31  4  0
 0  0 947260  89232     64  44940   24 104136 12460 104144  767 1247  0 90  8  2  0
 3  1 960876  60364     72  49540   68 13612  6108 13628  505  577  0 32 62  6  0
 0  0 1112252 139776     64  45744   36 151316  4328 151316  744 1112  0 89 10  1  0
 3  1 1151316  72088     80  44976   60 39068  1620 39068  485  599  1 37 62  0  0
 2  0 1218660 113080     88  55084 1908 69116 11856 69116  888 1653  1 80  0 19  0
 0  0 1263972  76752     92  47468 1112 46540  3296 46548  601  939  1 58 41  0  0
 2  0 1336164  54556    100  43088  120 72116  1588 72132  544  766  0 59 38  3  0
 0  0 1368176  79532    100  41336   48 31916   160 31916  374  295  1 16 81  2  0
 1  0 1504904 108792    100  41492   28 136844   108 136844  579  774  0 68 32  0  0
 0  0 1595112  98268    100  40696   52 90376    52 90376  529  593  0 50 47  3  0
 2  0 1602816  53988    100  41200   52 7860  1244  7860  398  363  0 21 78  1  0
 1  0 1698168  95996    108  45936  420 95560  5604 95576  634 1009  0 99  0  1  0
 2  0 1721816  54320     96  48900  940 24232  7216 24240  561  831  0 61 22 17  0
 0  0 1809192 104896    104  46212   68 87572  2176 87572  516  800  1 97  2  0  0
 2  0 1832328  54260    104  42736   44 23192   720 23192  409  446  1 30 67  2  0
 0  0 1882440  78116    104  42408   72 50320   232 50320  426  516  0 37 62  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2 1960056  61036   1308  45960  272 77752  6516 77768  665  979  0 78 11 10  0
 2  0 1999896  77332   1000  50280 2364 42156  9888 42160  908 1945  1 90  0  9  0
 2  0 2085724  62360    432  47464 1232 86992  4652 87000  898 1696  0 96  0  4  0
 5  0 2095648  67920    432  47832  256 10600   632 10600 1276  462  1 99  0  0  0
 3  5 2097144 536304    320  52316 1304 3776 58180  3828 1731 7668  1 99  0  0  0
